id,heading,location,timestamp,price,coords,url,img
310085216,Philips LatteGo EP223140 kaffemaskin,Oslo,1688803200000,3750,"59.94929,10.77297",https://www.finn.no/bap/forsale/ad.html?finnkode=310085216,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/08/6/310/085/216_2023549428.jpg
310033158,KitchenAid Artisan Kaffekvern,Oslo,1688743440000,1800,"59.92924,10.74811",https://www.finn.no/bap/forsale/ad.html?finnkode=310033158,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/07/8/310/033/158_12228227.jpg
310170379,Isomac Tea cooltouch espressomaskin,Østerås,1688887740000,4000,"59.94718,10.60458",https://www.finn.no/bap/forsale/ad.html?finnkode=310170379,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/09/9/310/170/379_124543369.jpg
310337850,DeLonghi Dedica espresso kaffemaskin,Oslo,1689002100000,750,"59.9396,10.6663",https://www.finn.no/bap/forsale/ad.html?finnkode=310337850,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/10/0/310/337/850_1640670721.jpg
310393561,Loir Subleme Barista kappsel maskin,Rykkinn,1689053760000,500,"59.92746,10.48694",https://www.finn.no/bap/forsale/ad.html?finnkode=310393561,
310394493,Russel Hobbs kaffetrakter,Rykkinn,1689055380000,750,"59.92746,10.48694",https://www.finn.no/bap/forsale/ad.html?finnkode=310394493,
309897571,Philips espresso maskin,Oslo,1689072720000,1750,"59.87468,10.81208",https://www.finn.no/bap/forsale/ad.html?finnkode=309897571,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/06/1/309/897/571_1937214473.jpg
310619664,La Pavoni,Oslo,1689188400000,6800,"59.92742,10.72083",https://www.finn.no/bap/forsale/ad.html?finnkode=310619664,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/12/4/310/619/664_1631654370.jpg
310703737,DeLonghi Espressomaskin EC685 metall,Østerås,1689258840000,1000,"59.9419,10.60761",https://www.finn.no/bap/forsale/ad.html?finnkode=310703737,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/13/7/310/703/737_1779134558.jpg
310922246,Compak k10 WBC kaffekvern,Mjøndalen,1689434580000,3000,"59.7423,10.01133",https://www.finn.no/bap/forsale/ad.html?finnkode=310922246,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/15/6/310/922/246_629569190.jpg
310992227,DeLonghi Magnifica S ECAM21117B kaffemaskin,Oslo,1689504120000,2500,"59.94691,10.7718",https://www.finn.no/bap/forsale/ad.html?finnkode=310992227,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/16/7/310/992/227_1911151744.jpg
310993459,Isomac Tea Cooltouch,Oslo,1689504060000,8500,"59.9179,10.71008",https://www.finn.no/bap/forsale/ad.html?finnkode=310993459,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/16/9/310/993/459_392307027.jpg
311123961,IKEA espresso kaffemaskin,Oslo,1689586260000,500,"59.9268,10.72381",https://www.finn.no/bap/forsale/ad.html?finnkode=311123961,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/17/1/311/123/961_773129094.jpg
311235582,"2 kaffemaskin, ekspresso,",Oslo,1689642180000,0,"59.9099,10.7466",https://www.finn.no/bap/forsale/ad.html?finnkode=311235582,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/18/2/311/235/582_858790460.jpg
311245849,"Jura A1 kafeemaskin, hvit",Vettre,1689666240000,3800,"59.8257,10.46919",https://www.finn.no/bap/forsale/ad.html?finnkode=311245849,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/18/9/311/245/849_1430229242.jpg
311385827,Ascaso Dream One espressomaskin (må repareres),Snarøya,1689761400000,1000,"59.88003,10.6101",https://www.finn.no/bap/forsale/ad.html?finnkode=311385827,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/19/7/311/385/827_1449557146.jpg
311399374,Della Corte Mini Espressomaskin selges,Oslo,1689767160000,9000,"59.95632,10.67975",https://www.finn.no/bap/forsale/ad.html?finnkode=311399374,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/19/4/311/399/374_904623991.jpg
311463166,Espresso Coban Alessi m steamer retro,Høvik,1689795840000,500,"59.8991,10.57008",https://www.finn.no/bap/forsale/ad.html?finnkode=311463166,
311506034,Stilig espressomaskin,Oslo,1689852000000,700,"59.95617,10.79092",https://www.finn.no/bap/forsale/ad.html?finnkode=311506034,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/20/4/311/506/034_1314952493.jpg
311535776,Kaffe og Espresso  maskin La Pavoni ( nesten helt ny),Oslo,1689862080000,7500,"59.9284,10.7221",https://www.finn.no/bap/forsale/ad.html?finnkode=311535776,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/20/6/311/535/776_996251435.jpg
311653063,1Zpresso J-Max Manuell kaffekvern,Oslo,1689949140000,1500,"59.9321,10.6362",https://www.finn.no/bap/forsale/ad.html?finnkode=311653063,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/21/3/311/653/063_906081523.jpg
279082959,Krups kaffemaskin,Oslo,1690183260000,800,"59.8796,10.8524",https://www.finn.no/bap/forsale/ad.html?finnkode=279082959,https://images.finncdn.no/dynamic/default/2022/10/vertical-0/30/9/279/082/959_1958847487.jpg
