id,heading,location,trade_type,date,timestamp,price,coords,url,img
293952355,Siemens EQ300 Espresso Kaffemaskin,Langhus,Til salgs,07.03.23,1678182660000,2600,"59.7552,10.8462",https://www.finn.no/bap/forsale/ad.html?finnkode=293952355,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/07/5/293/952/355_270073010.jpg
294070594,Sage Barista Express kaffemaskin BES875UK (stål),Oslo,Til salgs,08.03.23,1678268460000,5900,"59.9131,10.7702",https://www.finn.no/bap/forsale/ad.html?finnkode=294070594,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/08/4/294/070/594_967717775.png
294132527,SanRemo espresso maskin,Oslo,Til salgs,08.03.23,1678296900000,7000,"59.9075,10.7739",https://www.finn.no/bap/forsale/ad.html?finnkode=294132527,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/08/7/294/132/527_1718896005.jpg
294360709,Philips Saeco Intelia espresso og kaffemaskin,Jar,Til salgs,10.03.23,1678467180000,2000,"59.92772,10.61303",https://www.finn.no/bap/forsale/ad.html?finnkode=294360709,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/10/9/294/360/709_1429137611.jpg
294461409,KAFFEMASKIN Espresso,Oslo,Til salgs,11.03.23,1678545240000,599,"59.9086,10.79011",https://www.finn.no/bap/forsale/ad.html?finnkode=294461409,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/11/9/294/461/409_439835859.jpg
294529416,Kaffemaskin Siemens EQ8,Oslo,Til salgs,12.03.23,1678611300000,4900,"59.91024,10.81072",https://www.finn.no/bap/forsale/ad.html?finnkode=294529416,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/12/6/294/529/416_1897280091.jpg
294534000,Kaffemaskin Delonghi cappuccino,Oslo,Til salgs,12.03.23,1678615320000,1850,"59.9154,10.74595",https://www.finn.no/bap/forsale/ad.html?finnkode=294534000,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/12/0/294/534/000_1679656882.jpg
294648163,Jura A1 kaffemaskin,Asker,Til salgs,12.03.23,1678649220000,5000,"59.81401,10.45487",https://www.finn.no/bap/forsale/ad.html?finnkode=294648163,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/12/3/294/648/163_993220856.jpg
294783935,Fantastisk kaffekvern Eureka Atom Specialty 65 Chrome - lite brukt,Oslo,Til salgs,13.03.23,1678741320000,9000,"59.90585,10.68811",https://www.finn.no/bap/forsale/ad.html?finnkode=294783935,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/13/5/294/783/935_50047434.png
294787420,Wilfa Kaffekvern WSFB-100S - Testvinner - Uåpnet.,Oslo,Til salgs,13.03.23,1678744140000,2200,"59.85471,10.78983",https://www.finn.no/bap/forsale/ad.html?finnkode=294787420,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/13/0/294/787/420_1829808695.jpg
294865333,Option-o Lagom P64 - kaffekvern,Oslo,Til salgs,14.03.23,1678809120000,13000,"59.91777,10.85649",https://www.finn.no/bap/forsale/ad.html?finnkode=294865333,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/14/3/294/865/333_1456258498.jpg
294892409,Kaffemaskin,Oslo,Til salgs,14.03.23,1678822080000,1300,"59.90207,10.76776",https://www.finn.no/bap/forsale/ad.html?finnkode=294892409,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/14/9/294/892/409_1309332722.jpg
295042863,DeLonghi Magnifica S espresso / kaffe maskin,Oslo,Til salgs,16.03.23,1678954200000,1600,"59.92523,10.63626",https://www.finn.no/bap/forsale/ad.html?finnkode=295042863,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/16/3/295/042/863_1822304482.jpg
295086539,Delonghi dedica (metall),Drammen,Til salgs,16.03.23,1678975440000,550,"59.72767,10.24007",https://www.finn.no/bap/forsale/ad.html?finnkode=295086539,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/16/9/295/086/539_1643319281.jpg
295106390,Siemens EQ.6 s300 selges,Oslo,Til salgs,16.03.23,1678985400000,5000,"59.9594,10.78701",https://www.finn.no/bap/forsale/ad.html?finnkode=295106390,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/16/0/295/106/390_728690450.jpg
295214914,Mahlkönig EK43 originale kniver,Oslo,Til salgs,17.03.23,1679071620000,3900,"59.9539,10.7706",https://www.finn.no/bap/forsale/ad.html?finnkode=295214914,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/17/4/295/214/914_970139796.jpg
295287256,Delonghi Kaffemaskin,Nesoddtangen,Til salgs,18.03.23,1679138160000,900,"59.8501,10.656",https://www.finn.no/bap/forsale/ad.html?finnkode=295287256,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/18/6/295/287/256_921991795.jpg
295047317,Isomac Giada espressomaskin,Oslo,Til salgs,18.03.23,1679143800000,1700,"59.91846,10.71092",https://www.finn.no/bap/forsale/ad.html?finnkode=295047317,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/18/7/295/047/317_482245072.jpg
295286377,Vakker La Pavoni Professional maskin,Oslo,Til salgs,18.03.23,1679167920000,4600,"59.91635,10.79032",https://www.finn.no/bap/forsale/ad.html?finnkode=295286377,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/18/7/295/286/377_1240274166.jpg
295396589,"Nespesso Dolce Guesto kaffemaskin m/stativ, selges billig!",Oslo,Til salgs,19.03.23,1679218740000,349,"59.92683,10.79804",https://www.finn.no/bap/forsale/ad.html?finnkode=295396589,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/19/9/295/396/589_1386089695.jpg
295414931,DeLonghi Magnifica ECAM22.115.B kaffemaskin,Oslo,Til salgs,19.03.23,1679224560000,3500,"59.87683,10.78301",https://www.finn.no/bap/forsale/ad.html?finnkode=295414931,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/19/1/295/414/931_2107838928.jpg
295479595,Flair Signature Pro manuell espressomaskin,Oslo,Til salgs,19.03.23,1679242620000,2500,"59.9204,10.76501",https://www.finn.no/bap/forsale/ad.html?finnkode=295479595,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/19/5/295/479/595_8625532.jpg
295490960,Baratza Sette 30,Oslo,Til salgs,19.03.23,1679245260000,1500,"59.89848,10.8235",https://www.finn.no/bap/forsale/ad.html?finnkode=295490960,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/19/0/295/490/960_2029089440.jpg
295687168,kaffemaskin,Oslo,Til salgs,21.03.23,1679388780000,400,"59.9204,10.76501",https://www.finn.no/bap/forsale/ad.html?finnkode=295687168,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/21/8/295/687/168_945696630.jpg
295745332,Kaffemaskin Philips EP5360/10,Drammen,Til salgs,21.03.23,1679414580000,1600,"59.75243,10.17503",https://www.finn.no/bap/forsale/ad.html?finnkode=295745332,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/21/2/295/745/332_1054738388.jpg
294776882,Delonghi Autentica -  Delvis ødelagt,Oslo,Til salgs,13.03.23,1678737600000,1,"59.9204,10.739",https://www.finn.no/bap/forsale/ad.html?finnkode=294776882,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/13/2/294/776/882_1783086146.jpg
295783379,rancilio base dunkeboks,Oslo,Til salgs,21.03.23,1679430960000,700,"59.9005,10.7971",https://www.finn.no/bap/forsale/ad.html?finnkode=295783379,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/21/9/295/783/379_488832243.jpg
295793097,Rancilio silvia uten portafilter (filterholder),Sofiemyr,Til salgs,21.03.23,1679438100000,3000,"59.78929,10.81609",https://www.finn.no/bap/forsale/ad.html?finnkode=295793097,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/21/7/295/793/097_1766198675.jpg
169136269,Siemens kaffemaskin EQ 500 integral,Bærums Verk,Til salgs,22.03.23,1679482800000,2200,"59.94195,10.49925",https://www.finn.no/bap/forsale/ad.html?finnkode=169136269,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/22/9/169/136/269_308141162.jpg
295838325,Gaggia MDF kaffekvern,Oslo,Til salgs,22.03.23,1679485980000,1500,"59.9427,10.7599",https://www.finn.no/bap/forsale/ad.html?finnkode=295838325,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/22/5/295/838/325_234358553.jpg
295839077,Mahlkönig Vario kaffekvern,Oslo,Til salgs,22.03.23,1679486760000,2800,"59.9427,10.7599",https://www.finn.no/bap/forsale/ad.html?finnkode=295839077,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/22/7/295/839/077_1183381651.jpg
295965496,ESPRESSO  KAFFEMASKIN  KR 300,Ski,Til salgs,23.03.23,1679573520000,300,"59.71409,10.83461",https://www.finn.no/bap/forsale/ad.html?finnkode=295965496,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/23/6/295/965/496_1786494252.jpg
295996680,Kaffemaskin Siemens EQ8,Oslo,Til salgs,23.03.23,1679587440000,3750,"59.91024,10.81072",https://www.finn.no/bap/forsale/ad.html?finnkode=295996680,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/23/0/295/996/680_2031138132.jpg
296129769,Samsung kaffemaskin OQ 500,Oppegård,Til salgs,24.03.23,1679679360000,2500,"59.76708,10.81164",https://www.finn.no/bap/forsale/ad.html?finnkode=296129769,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/24/9/296/129/769_2040709490.jpg
296171168,DeLonghi Magnifica kaffemaskin ECAM22360B,Oslo,Til salgs,25.03.23,1679730420000,3400,"59.92764,10.71543",https://www.finn.no/bap/forsale/ad.html?finnkode=296171168,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/25/8/296/171/168_1082729193.jpg
296334263,ECM melkemugge,Oslo,Til salgs,26.03.23,1679827320000,150,"59.9427,10.7599",https://www.finn.no/bap/forsale/ad.html?finnkode=296334263,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/26/3/296/334/263_1309913483.jpg
296327633,Rancilio Silvia Bunnløs filterarm,Oslo,Til salgs,26.03.23,1679825460000,450,"59.9427,10.7599",https://www.finn.no/bap/forsale/ad.html?finnkode=296327633,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/26/3/296/327/633_1824094122.jpg
296322994,Gaggia Classic espressomaskin bra stand mye oppgraderinger,Oslo,Til salgs,26.03.23,1679824260000,2900,"59.9427,10.7599",https://www.finn.no/bap/forsale/ad.html?finnkode=296322994,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/26/4/296/322/994_621419725.jpg
296356569,kaffemaskin,Stabekk,Til salgs,26.03.23,1679833500000,690,"59.9097,10.6029",https://www.finn.no/bap/forsale/ad.html?finnkode=296356569,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/26/9/296/356/569_1409859501.jpg
296449059,flair signature espresso maker,Oslo,Til salgs,26.03.23,1679862480000,2250,"59.91095,10.76417",https://www.finn.no/bap/forsale/ad.html?finnkode=296449059,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/26/9/296/449/059_227335841.jpg
